titre, realisateur, annee, genre
Gone with the Wind, Victor Fleming, 1939, drame
Avatar, James Cameron, 2009, science-fiction
Titanic, James Cameron, 1997, romance
Star Wars IV: A New Hope, George Lucas, 1977, science-fiction
Avengers: Endgame, Anthony Russo & Joe Russo, 2019, action
The Sound of Music, Robert Wise, 1965, familial
E.T. the Extra-Terrestrial, Steven Spielberg, 1982, science-fiction
The Ten Commandments, Cecil B. DeMille, 1956, histoire
Doctor Zhivago, David Lean, 1965, romance
Star Wars VII: The Force Awakens, J.J. Abrams, 2015, science-fiction
